model,year,target,transmission,mileage,fuelType,tax,mpg,engineSize
 Q5,2019,32895,Automatic,10,Diesel,145,39.2,2.0
 Q3,2019,32082,Manual,6000,Petrol,145,40.9,1.5
 A1,2015,12000,Manual,35441,Diesel,0,80.7,1.6
 A4,2018,18350,Manual,8940,Petrol,145,52.3,1.4
 Q3,2019,25490,Manual,11130,Diesel,145,42.8,2.0
 A1,2015,12500,Manual,30500,Diesel,0,80.7,1.6
 Q2,2019,20974,Manual,4040,Diesel,145,49.6,1.6
 Q8,2019,50990,Semi-Auto,5608,Diesel,150,33.6,3.0
 A4,2016,14900,Semi-Auto,50900,Diesel,20,67.3,2.0
 Q3,2019,35866,Automatic,6698,Petrol,145,30.7,2.0
 A1,2019,19998,Manual,2117,Petrol,145,50.4,1.0
 Q5,2019,34026,Semi-Auto,6756,Diesel,145,38.2,2.0
 A6,2016,18243,Semi-Auto,46331,Diesel,150,55.4,2.0
 A3,2019,29490,Semi-Auto,355,Petrol,150,34.9,2.0
 A1,2016,12950,Manual,23100,Petrol,30,55.4,1.4
 A5,2019,26995,Semi-Auto,8150,Petrol,145,39.8,2.0
 A3,2019,23377,Manual,4963,Petrol,145,42.8,1.5
 A5,2013,11998,Manual,59773,Diesel,30,60.1,2.0
 A1,2017,12891,Manual,28512,Petrol,30,55.4,1.4
 A1,2017,13500,Manual,13000,Petrol,150,67.3,1.0
 Q2,2017,16495,Manual,18045,Petrol,145,55.4,1.0
 Q5,2016,22995,Semi-Auto,19273,Diesel,200,47.1,2.0
 A3,2017,14000,Manual,34668,Diesel,150,68.9,1.6
 A3,2013,9312,Manual,63986,Diesel,0,74.3,1.6
 Q2,2017,17481,Semi-Auto,23496,Petrol,145,54.3,1.4
 Q3,2019,27950,Automatic,9859,Diesel,145,47.1,2.0
 A4,2016,12750,Manual,52561,Diesel,0,74.3,2.0
 A4,2019,30000,Automatic,3714,Diesel,145,45.6,2.0
 Q2,2017,21995,Semi-Auto,9706,Petrol,145,52.3,1.4
 A3,2014,10895,Semi-Auto,33000,Diesel,20,72.4,1.6
 Q5,2019,34000,Automatic,5027,Diesel,145,38.2,2.0
 A7,2015,17888,Semi-Auto,42687,Diesel,150,54.3,3.0
 A1,2020,22000,Semi-Auto,2999,Petrol,145,44.8,1.0
 A5,2017,21465,Semi-Auto,15900,Diesel,145,67.3,2.0
 A3,2019,21000,Manual,17125,Petrol,145,47.1,1.0
 Q5,2019,31998,Semi-Auto,100,Petrol,145,33.2,2.0
 Q2,2019,22495,Manual,6500,Diesel,145,47.9,1.6
 A3,2016,11790,Manual,29813,Diesel,0,74.3,1.6
 A5,2018,26490,Semi-Auto,4600,Petrol,145,50.4,2.0
 A3,2019,29900,Semi-Auto,4641,Petrol,145,34.9,2.0
 A3,2019,21000,Manual,5000,Diesel,145,51.4,1.6
 A5,2016,18995,Manual,34728,Diesel,125,57.6,2.0
 Q8,2018,51495,Automatic,7000,Diesel,145,33.6,3.0
 A1,2019,23950,Semi-Auto,5000,Petrol,145,44.1,1.0
 A3,2019,20000,Automatic,11486,Diesel,145,54.3,1.6
 Q5,2017,36990,Semi-Auto,20354,Petrol,145,34.0,3.0
 Q3,2019,34750,Semi-Auto,4536,Petrol,145,32.1,2.0
 Q2,2019,23496,Manual,2891,Petrol,145,43.5,1.0
 Q2,2019,22990,Semi-Auto,18413,Petrol,145,40.9,1.5
 A1,2016,12950,Manual,15734,Petrol,0,67.3,1.0
 A5,2017,25000,Automatic,19000,Petrol,145,45.6,2.0
 A4,2017,25000,Semi-Auto,26846,Diesel,150,56.5,2.0
 A4,2016,18950,Automatic,15135,Diesel,20,67.3,2.0
 A5,2019,26295,Semi-Auto,6500,Petrol,145,40.4,2.0
 A3,2017,14550,Manual,17372,Diesel,20,70.6,1.6
 A5,2020,29888,Automatic,1500,Diesel,145,51.4,2.0
 A3,2019,30470,Semi-Auto,7987,Petrol,150,34.9,2.0
 A3,2016,14200,Manual,25726,Petrol,20,60.1,1.4
 A3,2016,11695,Manual,88140,Diesel,20,67.3,2.0
 Q2,2018,18351,Manual,10581,Petrol,145,52.3,1.4
 A5,2016,16498,Semi-Auto,49429,Diesel,20,70.6,2.0
 A3,2017,15495,Manual,49245,Diesel,20,65.7,2.0
 A3,2016,19771,Semi-Auto,17157,Petrol,125,48.7,2.0
 A6,2019,26490,Automatic,40000,Diesel,145,54.3,3.0
 A5,2018,21250,Manual,27427,Diesel,145,67.3,2.0
 Q3,2020,36900,Semi-Auto,2183,Petrol,145,39.8,1.5
 Q3,2016,15790,Manual,30865,Diesel,30,60.1,2.0
 Q5,2017,39990,Semi-Auto,24550,Petrol,145,34.0,3.0
 Q2,2017,18930,Automatic,14257,Petrol,145,54.3,1.4
 A3,2017,15495,Manual,49471,Diesel,145,65.7,2.0
 Q3,2017,15749,Manual,41767,Petrol,145,51.4,1.4
 Q2,2019,33990,Automatic,4826,Petrol,145,33.2,2.0
 A3,2015,13800,Semi-Auto,61808,Diesel,125,57.6,2.0
 A4,2016,14444,Automatic,28325,Diesel,0,72.4,2.0
 Q3,2016,17250,Automatic,42624,Diesel,145,51.4,2.0
 A3,2019,20890,Semi-Auto,12930,Petrol,145,42.2,1.5
 Q3,2015,15997,Automatic,13862,Diesel,145,53.3,2.0
 Q2,2018,19298,Manual,11349,Diesel,145,47.9,1.6
 A4,2017,14400,Manual,16390,Petrol,150,53.3,1.4
 Q3,2020,33444,Semi-Auto,1904,Petrol,145,31.4,2.0
 A3,2015,11490,Manual,45000,Diesel,20,68.9,2.0
 A1,2019,21811,Semi-Auto,2246,Petrol,145,44.8,1.5
 A3,2020,21450,Manual,6552,Petrol,150,47.9,1.0
 A5,2015,15489,Manual,37026,Petrol,145,49.6,1.8
 Q3,2019,32990,Automatic,3300,Petrol,145,31.7,2.0
 A5,2018,24495,Automatic,40929,Diesel,145,58.9,3.0
 A3,2018,20999,Automatic,3954,Petrol,145,56.5,1.5
 Q3,2019,27500,Automatic,7626,Diesel,150,47.1,2.0
 A4,2017,18698,Manual,20399,Petrol,145,51.4,1.4
 Q5,2019,38490,Automatic,10200,Diesel,145,38.2,2.0
 Q2,2019,20498,Semi-Auto,7779,Diesel,150,47.9,1.6
 A3,2019,22752,Automatic,6109,Petrol,145,41.5,1.5
 A3,2017,13995,Manual,24655,Diesel,145,68.9,1.6
 Q2,2019,22976,Automatic,3951,Petrol,145,42.8,1.5
 A3,2017,19998,Manual,21113,Petrol,145,55.4,1.5
 A1,2018,14998,Manual,14439,Petrol,150,55.4,1.4
 A3,2017,15500,Manual,17001,Petrol,145,55.4,1.5
 A1,2013,8495,Manual,67000,Petrol,30,55.4,1.2
 A3,2017,14975,Manual,27073,Petrol,20,60.1,1.4
 A3,2012,6695,Manual,48000,Diesel,20,68.9,1.6
 A3,2016,8000,Manual,96300,Diesel,20,68.9,2.0
 Q2,2019,24500,Semi-Auto,7901,Petrol,150,40.9,1.5
 A3,2016,15300,Manual,15011,Petrol,20,60.1,1.4
 A4,2020,38534,Semi-Auto,7521,Diesel,145,49.6,2.0
 A3,2018,18995,Manual,12350,Petrol,145,54.3,1.5
 A3,2015,15795,Manual,33000,Petrol,20,60.1,1.4
 A4,2017,13298,Manual,57464,Diesel,0,74.3,2.0
 A4,2019,25472,Manual,3134,Petrol,145,38.2,2.0
 A5,2017,28000,Automatic,20344,Petrol,150,37.7,3.0
 A4,2015,10999,Manual,73946,Diesel,20,68.9,2.0
 Q8,2019,56000,Automatic,945,Diesel,145,33.6,3.0
 A5,2019,26888,Automatic,1500,Petrol,145,39.8,2.0
 A3,2016,12299,Manual,19323,Petrol,20,61.4,1.4
 A5,2019,30728,Semi-Auto,5712,Diesel,145,51.4,2.0
 A3,2016,15800,Manual,39967,Diesel,125,57.6,2.0
 A3,2015,12950,Automatic,29255,Diesel,30,62.8,2.0
 Q2,2019,21995,Semi-Auto,10544,Petrol,145,42.8,1.5
 Q5,2020,40945,Semi-Auto,3000,Diesel,145,38.2,2.0
 A5,2019,29485,Automatic,10,Petrol,145,40.4,2.0
 A3,2015,10195,Automatic,57345,Petrol,20,58.9,1.2
 A4,2019,24399,Automatic,10511,Diesel,145,49.6,2.0
 Q7,2017,49900,Automatic,26979,Diesel,145,39.2,4.0
 A3,2015,10990,Automatic,70000,Petrol,30,57.6,1.4
 A3,2019,22990,Semi-Auto,7470,Petrol,145,40.4,2.0
 Q3,2016,12998,Manual,67643,Diesel,30,61.4,2.0
 A1,2016,11000,Manual,23707,Petrol,30,55.4,1.4
 A3,2016,17400,Manual,22740,Petrol,30,57.6,1.4
 TT,2015,14990,Manual,36000,Diesel,20,67.3,2.0
 RS3,2016,31072,Semi-Auto,16594,Petrol,300,34.9,2.5
 A4,2014,9990,Manual,77000,Diesel,30,62.8,2.0
 A3,2019,20888,Automatic,8176,Diesel,145,52.3,1.6
 A3,2017,22991,Semi-Auto,17365,Petrol,165,43.5,2.0
 Q2,2019,26295,Automatic,9100,Diesel,145,46.3,2.0
 A5,2016,14998,Semi-Auto,50903,Diesel,125,58.9,2.0
 A6,2017,19190,Semi-Auto,43000,Diesel,30,61.4,2.0
 A5,2015,18300,Automatic,29084,Diesel,235,42.8,3.0
 A1,2019,21495,Semi-Auto,3846,Petrol,145,44.8,1.5
 A3,2017,24290,Automatic,37091,Petrol,150,43.5,2.0
 Q2,2017,15250,Manual,42755,Diesel,30,64.2,1.6
 A3,2019,21374,Automatic,14520,Petrol,145,41.5,1.5
 A3,2016,15700,Automatic,23592,Petrol,30,55.4,1.4
 A4,2016,15600,Manual,19825,Diesel,20,70.6,2.0
 A6,2012,12495,Automatic,93000,Diesel,200,47.9,3.0
 A5,2015,13249,Manual,81337,Diesel,30,61.4,2.0
 Q3,2019,24990,Manual,6000,Petrol,145,40.9,1.5
 Q2,2019,19946,Manual,100,Diesel,145,49.6,1.6
 A3,2014,9690,Manual,25854,Petrol,30,57.6,1.2
 Q7,2019,44990,Semi-Auto,8293,Diesel,150,32.8,3.0
 A6,2015,15900,Semi-Auto,46000,Diesel,20,67.3,2.0
 A5,2013,16000,Automatic,29806,Petrol,200,40.4,2.0
 A3,2015,14995,Semi-Auto,46465,Petrol,30,54.3,1.4
 Q8,2019,62950,Semi-Auto,9991,Diesel,150,32.8,3.0
 A1,2020,22500,Semi-Auto,2000,Petrol,150,44.8,1.0
 Q3,2015,13999,Manual,51034,Diesel,125,60.1,2.0
 A6,2017,22800,Automatic,17845,Diesel,145,58.9,2.0
 A1,2016,11500,Manual,15567,Diesel,0,76.3,1.6
 A4,2019,25800,Automatic,3952,Diesel,145,44.8,2.0
 A1,2013,8999,Semi-Auto,49447,Petrol,125,53.3,1.4
 A3,2019,22899,Manual,9800,Diesel,145,51.4,1.6
 A3,2014,15000,Semi-Auto,24597,Hybrid,0,188.3,1.4
 A1,2016,13688,Manual,26165,Petrol,30,55.4,1.4
 A5,2015,11100,Manual,44757,Diesel,30,61.4,2.0
 A4,2016,15290,Semi-Auto,36157,Diesel,20,72.4,2.0
 Q2,2018,15900,Manual,35967,Petrol,145,55.4,1.0
 A4,2017,17995,Manual,25562,Diesel,145,70.6,2.0
 A3,2016,14500,Manual,31000,Diesel,20,68.9,1.6
 A1,2016,11499,Manual,10301,Petrol,0,67.3,1.0
 A5,2015,20490,Automatic,52838,Petrol,260,35.8,3.0
 Q2,2019,26500,Automatic,964,Petrol,150,40.9,1.5
 A3,2019,21490,Automatic,15961,Petrol,145,41.5,1.5
 Q3,2017,20745,Semi-Auto,17914,Petrol,145,47.9,1.4
 A1,2017,11995,Manual,15351,Petrol,30,57.6,1.4
 Q2,2019,22480,Semi-Auto,8664,Diesel,150,46.3,1.6
 A6,2015,16995,Semi-Auto,45000,Diesel,30,64.2,2.0
 A5,2019,32990,Automatic,5000,Diesel,145,47.1,2.0
 A5,2015,20998,Semi-Auto,28094,Petrol,260,36.7,3.0
 Q5,2019,33490,Automatic,5000,Diesel,145,38.2,2.0
 Q5,2020,39000,Semi-Auto,1000,Diesel,150,38.2,2.0
 A7,2018,33950,Automatic,17087,Diesel,150,38.2,3.0
 A3,2016,12998,Manual,32923,Diesel,20,72.4,1.6
 A3,2019,19795,Automatic,6000,Diesel,145,52.3,1.6
 A4,2019,31900,Semi-Auto,2498,Petrol,145,39.2,2.0
 Q3,2019,29850,Semi-Auto,15648,Petrol,145,31.7,2.0
 A4,2019,27990,Semi-Auto,6541,Diesel,145,47.9,2.0
 TT,2020,29000,Semi-Auto,2301,Petrol,150,40.9,2.0
 A5,2019,30000,Automatic,4012,Petrol,145,40.4,2.0
 Q7,2019,56900,Semi-Auto,1478,Diesel,145,32.1,3.0
 Q2,2016,20995,Semi-Auto,29491,Petrol,125,51.4,1.4
 A3,2017,19498,Semi-Auto,14413,Petrol,145,56.5,1.5
 A4,2017,18470,Automatic,42156,Diesel,145,64.2,3.0
 Q3,2020,32000,Automatic,4000,Petrol,145,32.5,2.0
 A5,2018,22795,Semi-Auto,21993,Diesel,145,62.8,2.0
 A3,2010,6995,Semi-Auto,68493,Petrol,125,51.4,1.4
 A5,2019,23750,Semi-Auto,4750,Diesel,145,51.4,2.0
 Q2,2017,21000,Semi-Auto,22000,Diesel,145,57.7,2.0
 Q5,2018,26995,Semi-Auto,12447,Diesel,145,56.5,2.0
 Q3,2015,17190,Manual,40293,Diesel,160,49.6,2.0
 Q8,2019,89750,Automatic,5800,Diesel,145,30.7,4.0
 Q2,2017,17132,Manual,15268,Petrol,125,52.3,1.4
 A5,2019,35131,Manual,5721,Petrol,145,37.2,2.0
 Q5,2016,20771,Manual,24490,Diesel,200,47.9,2.0
 A4,2015,13799,Automatic,21794,Diesel,125,56.5,2.0
 A1,2020,20990,Semi-Auto,2000,Petrol,145,45.6,1.0
 Q3,2015,15890,Automatic,33737,Diesel,160,50.4,2.0
 A6,2016,17336,Automatic,62118,Diesel,145,56.5,2.0
 A1,2012,9890,Semi-Auto,46179,Petrol,125,53.3,1.4
 Q3,2019,32888,Automatic,4432,Petrol,145,31.4,2.0
 Q3,2016,16750,Automatic,36617,Diesel,165,50.4,2.0
 A7,2017,37500,Semi-Auto,25000,Petrol,145,29.7,4.0
 Q2,2019,19980,Manual,2868,Diesel,145,49.6,1.6
 A1,2019,19685,Manual,10,Petrol,145,49.6,1.0
 A4,2017,16450,Semi-Auto,40000,Diesel,150,70.6,2.0
 A1,2018,15500,Manual,8000,Petrol,150,55.4,1.4
 Q7,2016,25930,Automatic,53801,Diesel,200,47.9,3.0
 A1,2016,11600,Manual,19645,Petrol,0,67.3,1.0
 A4,2019,26470,Automatic,3215,Petrol,145,38.7,2.0
 TT,2015,16990,Semi-Auto,23026,Petrol,200,42.2,2.0
 A4,2016,13999,Manual,56141,Diesel,20,68.9,2.0
 A4,2014,10495,Semi-Auto,54713,Diesel,125,58.9,2.0
 Q3,2018,20745,Manual,12245,Petrol,150,49.6,1.4
 Q2,2017,18490,Semi-Auto,59900,Petrol,125,52.3,1.4
 Q2,2019,30000,Semi-Auto,3059,Petrol,145,33.2,2.0
